energy_min,energy_max,dama_amplitude,dama_amplitude_error,cosine_nrc_single_amplitude,cosine_nrc_single_amplitude_upper_error,cosine_nrc_single_amplitude_lower_error,cosine_nrc_multiple_amplitude,cosine_nrc_multiple_amplitude_upper_error,cosine_nrc_multiple_amplitude_lower_error,cosine_erc_single_amplitude,cosine_erc_single_amplitude_upper_error,cosine_erc_single_amplitude_lower_error,cosine_erc_multiple_amplitude,cosine_erc_multiple_amplitude_upper_error,cosine_erc_multiple_amplitude_lower_error
0.75,1.0,0.019193324,0.007962448,,,,,,,0.012080064335336864,0.0216418251272179,0.02134275117815218,0.014280521220387287,0.010600776835299643,0.010469240703921977
1.0,1.5,0.02566064,0.004450626,,,,,,,-0.014416155253488765,0.011519660582090889,0.011555744373926802,-0.0035015710633960143,0.0040692553974729494,0.004099473382384198
1.5,2.0,0.019819193,0.003685675,0.004338183629988733,0.014251630091558484,0.013959751242816027,0.010142442330306312,0.007360421221365786,0.0075804353988492236,-0.011596726149207561,0.00998504846324463,0.00992408311295313,0.0031219486783749,0.003819172310060349,0.0038209949128342677
2.0,2.5,0.018150209,0.002294854,0.004887700720825576,0.009525008946242855,0.009869975991322952,-0.0010146927355235659,0.004319290741787819,0.0042663764616449815,0.025442859291956953,0.009542438165876101,0.00959834340526174,-0.0053991769625326,0.005505349099942446,0.00553593149566001
2.5,3.0,0.01891516,0.00267733,-0.015234558498601024,0.00821821149417475,0.008263863011387061,0.002387945016565036,0.002814037338783991,0.0028055548842975753,0.0020538652485749026,0.009394570284966031,0.009405587396579694,-0.008535363035733911,0.006510848442798929,0.006529121975097481
3.0,3.5,0.016481224,0.002399166,0.0015579230344682816,0.00765161361586675,0.007740357623801068,-0.00013230870261879844,0.002636858710729145,0.0026046972776558354,0.008849132954832644,0.009251589685392273,0.009818564690668849,-0.007645861508269594,0.005819472513298535,0.005795834897998312
3.5,4.0,0.011057024,0.002121001,-0.006834031365484618,0.007430319369470037,0.007401361066970085,0.0009979010179943012,0.002910527003940574,0.0029263937778907824,-0.003080907085747344,0.008743002121706181,0.00884677387863082,0.001117358999797247,0.004318283163420016,0.0043941005326762666
4.0,4.5,0.011126565,0.001842837,0.008917259164706075,0.007097965562578596,0.007219071243794662,-0.004898261420789239,0.0036701050394921226,0.003637015069007837,0.0019194577037349224,0.008778494552919847,0.008655416486787871,-0.000474385722323639,0.0035427674923917286,0.0035956193362800997
4.5,5.0,0.004381085,0.001773296,0.01530946759669917,0.007186327592157687,0.00721343951645825,-0.0006751533717491556,0.004617127961984625,0.00455674370733001,0.003964126907170575,0.008563109552432752,0.008405122554995186,-0.0011733381734460784,0.003260876614024354,0.003292597628553491
5.0,5.5,0.005493741,0.001738526,0.005439740402033161,0.007452418351133487,0.007425549486187452,-0.002022666851054686,0.0050038646452492935,0.005082616807486732,0.006884026795226588,0.007462439780006478,0.008076680997371079,-0.005980228893514256,0.0031794300470734454,0.0031974816837428022
5.5,6.0,0.007093185,0.001634214,-0.0011312018995721014,0.00736058313718559,0.007379014573093411,-0.010953962603604324,0.005051795666873427,0.004967482399343848,-0.0014790961947074106,0.008347925838972228,0.008309693996776219,-0.004568940770914967,0.00315048702556945,0.0031420088116618948
6.0,6.5,0.000417246,0.001634214,0.00278562639747147,0.0073511870174459825,0.00717866815650019,-0.0016551110105344688,0.004525736021421876,0.004503143642626041,-0.0086452530151484,0.008234322762205743,0.008215446873928943,0.004907046871333558,0.0031735925524310595,0.0031900744396777796
