energy_kevee_2,efficiency_2,efficiency_upper_bound_2,efficiency_lower_bound_2,energy_kevee_3,efficiency_3,efficiency_upper_bound_3,efficiency_lower_bound_3,energy_kevee_4,efficiency_4,efficiency_upper_bound_4,efficiency_lower_bound_4,energy_kevee_6,efficiency_6,efficiency_upper_bound_6,efficiency_lower_bound_6,energy_kevee_7,efficiency_7,efficiency_upper_bound_7,efficiency_lower_bound_7
0.4648262554519643,0.06360870314024915,0.11870655239610403,0.008510853884394265,0.4644887111106054,0.05827671629344387,0.10864063150659309,0.007912801080294664,0.46314084908509373,0.05307246543117792,0.1060714605318272,7.347033052864521e-05,0.4660715389487098,0.036461749448452686,0.08992480792695418,0.0,0.4642886732017427,0.04050015248551388,0.09035845588771951,0.0
0.5976337570096685,0.21829457364341084,0.2525040734716279,0.18408507381519376,0.5971997714279212,0.20781682951728161,0.23789649106239094,0.1777371679721723,0.5954668059665491,0.17942509642726429,0.21992899791094578,0.1389211949435828,0.5992348357911983,0.1768617404070353,0.20799364785188387,0.14572983296218675,0.596942579830812,0.15950685576413817,0.21000708263535492,0.10900662889292143
0.7304412585673725,0.4133195345714925,0.44110242982217807,0.38553663932080695,0.7299108317452371,0.4047103019794827,0.45216125983621064,0.3572593441227548,0.7277927628480044,0.3437907408948434,0.39723276526315326,0.29034871652653355,0.7323981326336868,0.38998825854119534,0.4177309828008626,0.36224553428152806,0.7295964864598814,0.3374001452432825,0.366642241226586,0.30815804925997897
0.8632487601250767,0.5702285224792064,0.6303995015231368,0.510057543435276,0.8626218920625529,0.5835108292449444,0.6357740399283446,0.5312476185615441,0.8601187197294597,0.5093543551879198,0.5941442265148519,0.4245644838609878,0.8655614294761753,0.5826972740315638,0.6356286128425528,0.5297659352205748,0.8622503930889507,0.5223932115633539,0.5766773989869655,0.4681090241397424
0.9960562616827807,0.700906512429787,0.7667971784062348,0.6350158464533391,0.9953329523798687,0.7165559715010265,0.7761720451197791,0.6569398978822738,0.9924446766109151,0.6442515667461594,0.7066109699263605,0.5818921635659582,0.9987247263186638,0.7304068893769506,0.7887817829695045,0.6720319957843968,0.9949042997180201,0.6689949440336674,0.7278051307668505,0.6101847573004844
1.1288637632404848,0.792239740579224,0.8454146368739928,0.7390648442844552,1.1280440126971847,0.8102530604345092,0.8576912177969848,0.7628149030720336,1.1247706334923704,0.7501455382141768,0.8224674776812173,0.6778235987471364,1.1318880231611523,0.8297908859455903,0.881712076957306,0.7778696949338745,1.1275582063470895,0.779340403893651,0.8287924744531875,0.7298883333341145
1.261671264798189,0.8588031028592231,0.9010746708602982,0.816531534858148,1.2607550730145003,0.8768221574344023,0.9140988896898109,0.8395454251789937,1.2570965903738258,0.822857461272707,0.8728675366755115,0.7728473858699024,1.2650513200036408,0.8955456249099034,0.93330332642524,0.8577879233945668,1.2602121129761588,0.8540412600081819,0.8880938010489875,0.8199887189673764
1.394478766355893,0.9065178897664352,0.9229762790476116,0.8900595004852588,1.3934661333318163,0.9216680413371501,0.9399586645550296,0.9033774181192705,1.3894225472552812,0.8756839754327191,0.8940797059053331,0.8572882449601051,1.3982146168461294,0.929980702209165,0.9442332675002761,0.9157281369180538,1.392866019605228,0.9027537464441773,0.9204388729020899,0.8850686199862646
1.5272862679135972,0.9360413425205601,0.9421742629409424,0.9299084221001779,1.526177193649132,0.9466744514182844,0.9566370811116818,0.9367118217248871,1.5217485041367365,0.9089627164532686,0.9149895426666831,0.9029358902398542,1.5313779136886179,0.956871997007797,0.9630007156298706,0.9507432783857235,1.5255199262342973,0.935302884193916,0.9412898234126555,0.9293159449751766
1.6600937694713012,0.9506380120886501,0.9591554854989507,0.9421205386783494,1.658888253966448,0.9664409845281451,0.9866883270463467,0.9461936420099435,1.6540744610181919,0.9335260926929231,0.947721750062855,0.9193304353229912,1.6645412105311064,0.9726576207743596,0.9810343603510259,0.9642808811976933,1.6581738328633668,0.9581743425917709,0.9711217206455588,0.945226964537983
