day_centers,livetime_efficiency_crystal2,counts_crystal2,event_rate_crystal2,event_rate_error_crystal2,livetime_efficiency_crystal3,counts_crystal3,event_rate_crystal3,event_rate_error_crystal3,livetime_efficiency_crystal4,counts_crystal4,event_rate_crystal4,event_rate_error_crystal4,livetime_efficiency_crystal6,counts_crystal6,event_rate_crystal6,event_rate_error_crystal6,livetime_efficiency_crystal7,counts_crystal7,event_rate_crystal7,event_rate_error_crystal7,residual_crystal2,residual_error_crystal2,residual_crystal3,residual_error_crystal3,residual_crystal4,residual_error_crystal4,residual_crystal6,residual_error_crystal6,residual_crystal7,residual_error_crystal7,mean_residual,mean_residual_error
292.5,0.0,0.0,,,0.40002700617283954,488.0,2.366769479426762,0.10713862026528255,0.40002700617283954,871.0,2.2042297931778,0.0746874773071952,0.40002700617283954,482.0,1.7194209931885527,0.07831748017439147,0.38891512345679013,471.0,1.7625677154544874,0.08121483333763856,,,0.058640178423502665,0.10713862026528255,0.04442844949455926,0.0746874773071952,-0.14792161941751014,0.07831748017439147,-0.18657008996500335,0.08121483333763856,-0.06768849514219731,0.04148581840786187
307.5,0.0,0.0,,,0.5444822530864197,651.0,2.3196513269309107,0.09091430341866948,0.5444822530864197,1127.0,2.095406140471736,0.062417483370294374,0.5444822530864197,729.0,1.9105935094248887,0.07076272257129218,0.5444822530864197,693.0,1.8523764080188656,0.07036596109268782,,,0.017796225973392588,0.09091430341866948,-0.05366471130471506,0.062417483370294374,0.04831907201795449,0.07076272257129218,-0.0913722596440798,0.07036596109268782,-0.026209251562541978,0.03582104608350049
322.5,0.0,0.0,,,0.9468325617283949,1160.0,2.376896408272516,0.06978808153147487,0.9468325617283949,2003.0,2.141587332873797,0.047851473403672726,0.9468325617283949,1167.0,1.7588231355144643,0.051485714210823284,0.9468325617283949,1267.0,1.9475255560632088,0.054713545427898344,,,0.0811401519164674,0.06978808153147487,0.0027940187791686277,0.047851473403672726,-0.0986164971892356,0.051485714210823284,0.008934003807554491,0.054713545427898344,-0.012072513392201983,0.027182887125957185
337.5,0.0,0.0,,,0.9450694444444443,1101.0,2.2602113273713873,0.06811698040442507,0.9450694444444443,1978.0,2.1188030545866536,0.04764062460021013,0.9450694444444443,1190.0,1.7968330948822784,0.05208758921572462,0.3365856481481481,487.0,2.1057805145956046,0.0954220235497961,,,-0.029607561068212274,0.06811698040442507,-0.010130095006962936,0.04764062460021013,-0.05598511266676853,0.05208758921572462,0.17213305996755413,0.0954220235497961,-0.011083716325528252,0.029688801097067424
352.5,0.0,0.0,,,0.5508016975308643,657.0,2.3141715473001714,0.09028443090155219,0.5508016975308643,1113.0,2.045633933994674,0.061316920769115955,0.5508016975308643,723.0,1.8731283019077987,0.0696623911088626,0.0,0.0,,,,,0.030141197529729435,0.09028443090155219,-0.0738239060631547,0.061316920769115955,0.024736369501203948,0.0696623911088626,,,-0.018227491569869678,0.041005695369791824
367.5,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,
382.5,0.8531628086419754,980.0,2.2634911079713382,0.07230457119843182,0.8531628086419754,1013.0,2.3035783076529914,0.07237661331858748,0.8531628086419754,1810.0,2.1477052792679436,0.05048186571507442,0.8531628086419754,1064.0,1.7796484115334439,0.05455862257815421,0.0,0.0,,,0.1474419609871025,0.07230457119843182,0.030723640299737287,0.07237661331858748,0.04615984784173088,0.05048186571507442,-0.060411386450634375,0.05455862257815421,,,0.028712240571164508,0.030007881499453475
397.5,0.9944436728395061,1053.0,2.0865693064614286,0.06430113354064972,0.9944436728395061,1106.0,2.1577463378754405,0.06488179026204799,0.9944436728395061,2102.0,2.1398362866924665,0.046672836122373156,0.9944436728395061,1255.0,1.8008935205548886,0.050835391508103255,0.0,0.0,,,-0.02616479810091521,0.06430113354064972,-0.10970109267431383,0.06488179026204799,0.04677998840984454,0.046672836122373156,-0.035231428908798046,0.050835391508103255,,,-0.01851918199678388,0.02746762926470736
412.5,0.9777777777777777,1036.0,2.0878737062575223,0.06486707981486475,0.9777777777777777,1176.0,2.3334183517396325,0.0680438609310507,0.9777777777777777,2049.0,2.1214354449894564,0.04686610288302693,0.9777777777777777,1242.0,1.8126165114477972,0.05143338810436924,0.0,0.0,,,-0.021601419656982923,0.06486707981486475,0.07126969084575396,0.0680438609310507,0.03658792128690003,0.04686610288302693,-0.019710513339271207,0.05143338810436924,,,0.01512610348825984,0.027875370735047013
427.5,0.8935972222222223,981.0,2.1632754893532318,0.0690680708625725,0.8935972222222223,1056.0,2.29270172766278,0.07055301850722592,0.8935972222222223,1809.0,2.049390798067447,0.04818429381992759,0.8935972222222223,1092.0,1.7438347465435637,0.05277084005163438,0.0,0.0,,,0.05700779831603464,0.0690680708625725,0.03575134447732786,0.07055301850722592,-0.02750750514172573,0.04818429381992759,-0.08481977248540873,0.05277084005163438,,,-0.019306177467195117,0.028863519356635448
442.5,0.983332561728395,1030.0,2.064055812583498,0.06431360058988053,0.983332561728395,1152.0,2.272885241985841,0.06696552364445896,0.983332561728395,2074.0,2.1351891635469986,0.046884790596328656,0.983332561728395,1216.0,1.7646462317725498,0.050604701285502623,0.0,0.0,,,-0.03905187300647439,0.06431360058988053,0.021039922886186613,0.06696552364445896,0.06599956824877928,0.046884790596328656,-0.06045070518822482,0.050604701285502623,,,0.0012740003631205134,0.027627047279173065
