amplitude_median,pseudo_experiments
-0.004597345838322423,1
-0.00429401513039411,1
-0.003990684422465798,0
-0.003687353714537485,0
-0.0033840230066091727,0
-0.00308069229868086,0
-0.0027773615907525475,0
-0.002474030882824235,2
-0.0021707001748959226,1
-0.0018673694669676102,10
-0.0015640387590392976,5
-0.001260708051110985,7
-0.0009573773431826723,5
-0.0006540466352543597,16
-0.00035071592732604726,16
-4.738521939773484e-05,31
0.0002559454885305776,32
0.00055927619645889,61
0.0008626069043872024,82
0.0011659376123155148,111
0.0014692683202438277,152
0.0017725990281721405,203
0.002075929736100453,274
0.0023792604440287654,358
0.002682591151957078,473
0.0029859218598853906,527
0.0032892525678137035,702
0.003592583275742016,859
0.0038959139836703283,1053
0.004199244691598641,1351
0.004502575399526953,1677
0.004805906107455266,1993
0.005109236815383578,2353
0.00541256752331189,2832
0.005715898231240203,3316
0.006019228939168515,4030
0.006322559647096828,4636
0.00662589035502514,5130
0.0069292210629534525,5772
0.007232551770881765,6405
0.007535882478810078,7161
0.007839213186738392,8043
0.008142543894666704,8697
0.008445874602595016,9381
0.008749205310523329,9924
0.009052536018451641,10627
0.009355866726379954,11150
0.009659197434308266,11475
0.009962528142236578,11795
0.01026585885016489,11964
0.010569189558093203,12008
0.010872520266021516,11745
0.011175850973949828,11733
0.01147918168187814,11435
0.011782512389806453,11037
0.012085843097734765,10573
0.012389173805663078,10024
0.01269250451359139,9377
0.012995835221519703,8614
0.013299165929448015,7985
0.013602496637376327,7154
0.01390582734530464,6461
0.014209158053232952,5653
0.014512488761161265,4958
0.014815819469089579,4393
0.015119150177017891,3918
0.015422480884946204,3282
0.015725811592874516,2769
0.01602914230080283,2341
0.01633247300873114,1988
0.01663580371665945,1633
0.016939134424587766,1267
0.01724246513251608,1087
0.01754579584044439,842
0.0178491265483727,718
0.018152457256301015,573
0.01845578796422933,426
0.01875911867215764,333
0.01906244938008595,256
0.019365780088014265,181
0.01966911079594258,135
0.01997244150387089,103
0.020275772211799204,101
0.020579102919727518,58
0.02088243362765583,41
0.02118576433558414,34
0.021489095043512454,26
0.021792425751440768,12
0.02209575645936908,4
0.02239908716729739,11
0.022702417875225703,3
0.023005748583154018,4
0.02330907929108233,3
0.02361240999901064,1
0.023915740706938953,2
0.024219071414867267,3
0.024522402122795578,0
0.024825732830723892,0
0.025129063538652206,0
0.025432394246580517,1
