amplitude_median,pseudo_experiments
-0.005100784322174153,1
-0.004632269919148596,1
-0.004163755516123039,2
-0.003695241113097482,1
-0.003226726710071925,2
-0.002758212307046368,1
-0.0022896979040208107,3
-0.0018211835009952536,3
-0.0013526690979696965,7
-0.0008841546949441394,7
-0.0004156402919185823,11
5.287411110697481e-05,12
0.0005213885141325319,17
0.000989902917158089,26
0.0014584173201836461,33
0.0019269317232092032,40
0.0023954461262347604,64
0.0028639605292603175,81
0.0033324749322858746,95
0.0038009893353114317,148
0.004269503738336989,167
0.004738018141362546,223
0.005206532544388103,302
0.00567504694741366,400
0.006143561350439217,506
0.006612075753464774,605
0.007080590156490331,764
0.0075491045595158885,853
0.008017618962541445,1161
0.008486133365567002,1329
0.008954647768592559,1561
0.009423162171618116,1880
0.009891676574643673,2161
0.01036019097766923,2476
0.010828705380694787,3041
0.011297219783720345,3415
0.011765734186745902,3822
0.012234248589771459,4472
0.012702762992797016,4924
0.013171277395822573,5629
0.01363979179884813,6221
0.014108306201873687,6619
0.014576820604899244,7223
0.015045335007924801,7731
0.015513849410950359,8389
0.015982363813975914,8770
0.016450878217001474,9333
0.016919392620027028,9761
0.01738790702305259,10080
0.017856421426078142,10397
0.018324935829103703,10672
0.018793450232129257,10641
0.019261964635154817,10482
0.01973047903818037,10579
0.02019899344120593,10388
0.020667507844231485,10360
0.021136022247257046,10008
0.0216045366502826,9693
0.02207305105330816,9402
0.022541565456333713,8987
0.023010079859359274,8185
0.023478594262384828,7587
0.023947108665410388,6969
0.024415623068435942,6418
0.024884137471461502,5779
0.025352651874487056,5410
0.025821166277512613,4885
0.02628968068053817,4366
0.02675819508356373,3819
0.027226709486589288,3344
0.02769522388961484,2961
0.0281637382926404,2455
0.02863225269566596,2054
0.029100767098691516,1730
0.02956928150171707,1523
0.030037795904742627,1255
0.030506310307768188,1046
0.030974824710793745,875
0.0314433391138193,711
0.031911853516844856,553
0.032380367919870416,433
0.03284888232289597,368
0.03331739672592153,306
0.033785911128947084,229
0.034254425531972645,174
0.0347229399349982,138
0.03519145433802376,115
0.03565996874104931,89
0.03612848314407487,57
0.03659699754710043,50
0.03706551195012599,39
0.03753402635315154,22
0.0380025407561771,9
0.038471055159202655,17
0.038939569562228216,21
0.03940808396525377,13
0.03987659836827933,3
0.040345112771304883,6
0.040813627174330444,2
0.041282141577356,2
