nuclear_recoil_energy,qf,qf_err
0.27997997997998003,2.9492075810024967,0.0753715967212063
0.36996996996997,3.071945821007874,0.07769359136158638
0.45995995995996,3.171044442190486,0.07975608431344083
0.54994994994995,3.2545888482094085,0.08157747558544903
0.63993993993994,3.3270594577119814,0.0831992181244745
0.72992992992993,3.391213413931054,0.08465806296690337
0.81991991991992,3.448874802595599,0.08598306891475316
0.9099099099099099,3.501316405502297,0.0871967575353616
0.9998998998998999,3.5494633952742833,0.08831665795908394
1.08988988988989,3.5940104451842654,0.08935657160475063
1.1798798798798802,3.6354931030142277,0.09032751135546402
1.26986986986987,3.674333381317416,0.0912383828128962
1.3598598598598601,3.7108700258890477,0.09209647847731528
1.44984984984985,3.7453792736806757,0.09290783938066083
1.53983983983984,3.7780894866015564,0.09367752292621256
1.6298298298298302,3.8091917162064597,0.09440980385894981
1.71981981981982,3.838847490371105,0.09510832703057392
1.80980980980981,3.8671946579215706,0.09577622497440297
1.8997997997998,3.8943518469638847,0.09641620947184038
1.98978978978979,3.9204219150877058,0.09703064364829705
2.07977977977978,3.9454946541814513,0.0976215993305356
2.16976976976977,3.9696489358255755,0.0981909031098267
2.2597597597597603,3.9929544311187986,0.0987401736671849
2.34974974974975,4.015473002759656,0.09927085227001164
2.43973973973974,4.037259841870066,0.09978422787533159
2.52972972972973,4.058364403957625,0.10028145795148902
2.61971971971972,4.078831185317099,0.10076358585248624
2.7097097097097103,4.09870037156445,0.1012315554175025
2.7996996996997,4.118008382868163,0.10168622330152033
2.88968968968969,4.1367883350920645,0.1021283694543964
2.97967967967968,4.15507043200834,0.10255870606499151
3.06966966966967,4.172882300635443,0.10297788523900397
3.1596596596596602,4.190249279358545,0.10338650561557294
3.24964964964965,4.2071946666247815,0.10378511809512769
3.33963963963964,4.223739936540351,0.10417423081877875
3.42962962962963,4.239904926540227,0.10455431351254596
3.51961961961962,4.255708001379558,0.10492580129162654
3.60960960960961,4.271166196958041,0.10528909800485042
3.6995995995996,4.2862953468944385,0.10564457918267145
3.78958958958959,4.301110194285612,0.10599259464341859
3.87957957957958,4.315624490692638,0.10633347080700517
3.96956956956957,4.329851084073024,0.1066675127525496
4.05955955955956,4.343801997114898,0.10699500605398882
4.149549549549549,4.357488497208595,0.10731621842108385
4.23953953953954,4.370921159108462,0.10763140117038095
4.3295295295295295,4.3841099211870285,0.10794079054995809
4.41951951951952,4.397064136055005,0.10824460892847299
4.50950950950951,4.409792616213785,0.108543065871757
4.599499499499499,4.422303675316954,0.1088363591149486
4.68948948948949,4.4346051655396455,0.10912467544422277
4.7794794794794795,4.446704511490418,0.10940819149795455
4.86946946946947,4.458608741044404,0.10968707449430948
4.95945945945946,4.4703245134278164,0.10996148289581864
5.049449449449449,4.481858144844574,0.1102315670151297
5.13943943943944,4.493215631899807,0.1104974695700438
5.2294294294294295,4.50440267304432,0.11075932619001172
5.31941941941942,4.515424688238292,0.11101726588399874
5.40940940940941,4.526286837010088,0.1112714114661486
5.499399399399399,4.53699403506426,0.11152187995131779
5.58938938938939,4.547550969578522,0.11176878291787151
5.679379379379379,4.5579621133113175,0.11201222684061385
5.76936936936937,4.568231737630162,0.11225231340292563
5.85935935935936,4.578363924558893,0.11248913978004982
5.949349349349349,4.5883625779313935,0.11272279890598913
6.03933933933934,4.598231433730606,0.1129533797178377
6.129329329329329,4.607974069683075,0.11318096738491956
6.21931931931932,4.617593914173582,0.11340564351992377
6.3093093093093096,4.62709425453628,0.11362748637598141
6.399299299299299,4.636478244774675,0.11384657103103457
6.48928928928929,4.645748912757047,0.11406296955800421
6.579279279279279,4.654909166929604,0.11427675118559044
6.66926926926927,4.663961802586189,0.11448798244622616
6.7592592592592595,4.672909507728778,0.11469672731672542
6.849249249249249,4.681754868551311,0.11490304734798773
6.93923923923924,4.690500374574703,0.11510700178776645
7.029229229229229,4.699148423460695,0.11530864769455107
7.11921921921922,4.707701325527072,0.11550804004659554
7.2092092092092095,4.716161307987306,0.11570523184076897
7.299199199199199,4.7245305189343085,0.11590027418962556
7.38918918918919,4.732811031086956,0.11609321640851267
7.479179179179179,4.741004845315142,0.11628410610180051
7.56916916916917,4.749113893960711,0.11647298923988103
7.6591591591591595,4.757140043967088,0.11665991023517375
7.74914914914915,4.765085099830835,0.11684491201208846
7.83913913913914,4.772950806387514,0.11702803607277801
7.929129129129129,4.780738851443366,0.1172093225609725
8.01911911911912,4.78845086826174,0.11738881032041437
8.10910910910911,4.796088437915068,0.11756653695089181
8.199099099099099,4.803653091510316,0.11774253886233144
8.289089089089089,4.811146312296796,0.1179168513231561
8.37907907907908,4.818569537662081,0.11808950851009392
8.46906906906907,4.825924161025763,0.11826054355138194
8.55905905905906,4.833211533634529,0.11842998857081266
8.649049049049049,4.8404329662666745,0.11859787472823502
8.73903903903904,4.847589730850436,0.11876423225688093
8.82902902902903,4.85468306200186,0.11892909050184475
8.91901901901902,4.861714158486773,0.11909247795352051
9.00900900900901,4.868684184611059,0.11925442228230576
9.098998998998999,4.875594271544546,0.11941495036798155
9.18898898898899,4.882445518580468,0.11957408833147731
9.27897897897898,4.889238994335867,0.11973186156348437
9.36896896896897,4.895975737895722,0.11988829475014917
9.45895895895896,4.9026567599032775,0.12004341190087864
9.548948948948949,4.909283043600845,0.1201972363723387
9.63893893893894,4.9158555458227085,0.12034979089222908
9.72892892892893,4.922375197943171,0.12050109758151972
9.81891891891892,4.9288429067823065,0.12065117797676539
9.90890890890891,4.935259555471659,0.12080005305023178
9.998898898898899,4.941626004281141,0.1209477432294408
