day_centers,livetime_efficiency_crystal2,counts_crystal2,event_rate_crystal2,event_rate_error_crystal2,livetime_efficiency_crystal3,counts_crystal3,event_rate_crystal3,event_rate_error_crystal3,livetime_efficiency_crystal4,counts_crystal4,event_rate_crystal4,event_rate_error_crystal4,livetime_efficiency_crystal6,counts_crystal6,event_rate_crystal6,event_rate_error_crystal6,livetime_efficiency_crystal7,counts_crystal7,event_rate_crystal7,event_rate_error_crystal7,residual_crystal2,residual_error_crystal2,residual_crystal3,residual_error_crystal3,residual_crystal4,residual_error_crystal4,residual_crystal6,residual_error_crystal6,residual_crystal7,residual_error_crystal7,mean_residual,mean_residual_error
292.5,0.0,0.0,,,0.40002700617283954,437.0,4.1587772642608485,0.1989412958830491,0.40002700617283954,767.0,3.7997000807871864,0.1371992180329687,0.40002700617283954,421.0,2.934666346843228,0.14302688622631976,0.38891512345679013,416.0,3.029814003675397,0.14854885314709163,,,0.15263465870923554,0.1989412958830491,0.06662738181872907,0.1371992180329687,-0.2648601027493047,0.14302688622631976,-0.33357413556722193,0.14854885314709163,-0.1197492298813739,0.07611833485221053
307.5,0.0,0.0,,,0.5444822530864197,576.0,4.027284313836162,0.1678035130765068,0.5444822530864197,1000.0,3.639649284479697,0.11509581623157972,0.5444822530864197,645.0,3.303253726997465,0.1300654884835086,0.5444822530864197,615.0,3.199402327305332,0.1290123536781342,,,0.031231135733147397,0.1678035130765068,-0.07436080811970713,0.11509581623157972,0.11167412590983483,0.1300654884835086,-0.1556804824494744,0.1290123536781342,-0.03152282125262566,0.06591004931561421
322.5,0.0,0.0,,,0.9468325617283949,1038.0,4.173473925697245,0.12953854890972255,0.9468325617283949,1746.0,3.65438517546718,0.0874565217152792,0.9468325617283949,1056.0,3.109973447779402,0.09570281714832565,0.9468325617283949,1139.0,3.4074383626161753,0.10096390663695774,,,0.18727740623950417,0.12953854890972255,-0.04147530672920574,0.0874565217152792,-0.07402476845835437,0.09570281714832565,0.0603187723038614,0.10096390663695774,0.008986308298770496,0.0501495656373779
337.5,0.0,0.0,,,0.9450694444444443,979.0,3.9435968025566734,0.12603790041206306,0.9450694444444443,1754.0,3.67797805040247,0.0878201831697815,0.9450694444444443,1034.0,3.050863412682965,0.09487733892677154,0.3365856481481481,429.0,3.610265720490564,0.17430527150645786,,,-0.03295893970340735,0.12603790041206306,-0.0005702641383948936,0.0878201831697815,-0.12588702131675955,0.09487733892677154,0.2707959322171294,0.17430527150645786,-0.021450464715151274,0.054504553393562694
352.5,0.0,0.0,,,0.5508016975308643,578.0,3.9949017643204576,0.16616600751324107,0.5508016975308643,987.0,3.551118367769965,0.11303334303739737,0.5508016975308643,620.0,3.138790773745816,0.12605687094267345,0.0,0.0,,,,,0.027786341048307683,0.16616600751324107,-0.11088631681113226,0.11303334303739737,-0.031016452322776278,0.12605687094267345,,,-0.05424767785314302,0.07507620242289537
367.5,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,
382.5,0.8531628086419754,879.0,3.9760203405837093,0.13410783763301184,0.8531628086419754,909.0,4.056070583322626,0.13453136921742456,0.8531628086419754,1617.0,3.7559635647994134,0.09340419045932696,0.8531628086419754,939.0,3.0690193376789376,0.10015366093544648,0.0,0.0,,,0.29419665618237056,0.13410783763301184,0.10728957593715904,0.13453136921742456,0.12498641543475175,0.09340419045932696,-0.08771175203888593,0.10015366093544648,,,0.08570252536077588,0.05545551935537012
397.5,0.9944436728395061,935.0,3.6284660144898435,0.11866352744990044,0.9944436728395061,989.0,3.7860787124852853,0.12039029895318243,0.9944436728395061,1891.0,3.768379269530588,0.08665803590675987,0.9944436728395061,1111.0,3.1152995901141085,0.09346366100330883,0.0,0.0,,,-0.04668755447658679,0.11866352744990044,-0.15378354289070284,0.12039029895318243,0.15199567639194722,0.08665803590675987,-0.035252514546955105,0.09346366100330883,,,0.005878122259613494,0.050790153801802344
412.5,0.9777777777777777,923.0,3.6429497105419513,0.11990915030427433,0.9777777777777777,1051.0,4.0920043744761765,0.12622190524314122,0.9777777777777777,1798.0,3.644121015264344,0.08594051404508397,0.9777777777777777,1090.0,3.108510102515241,0.09415405615919437,0.0,0.0,,,-0.02571704445877776,0.11990915030427433,0.16090993129654274,0.12622190524314122,0.04178268221751358,0.08594051404508397,-0.03607507774237728,0.09415405615919437,,,0.026014710605742272,0.05126416502024321
427.5,0.8935972222222223,850.0,3.67086787535946,0.12590972937384695,0.8935972222222223,946.0,4.03016532705316,0.1310319771317623,0.8935972222222223,1595.0,3.5372205818834463,0.08856901191393395,0.8935972222222223,973.0,3.0362461567778243,0.09733758298417174,0.0,0.0,,,0.008520979872054024,0.12590972937384695,0.10769761456601712,0.1310319771317623,-0.051577214074938205,0.08856901191393395,-0.10256592673580256,0.09733758298417174,,,-0.029886609541809068,0.053123492422315774
