amplitude_median,pseudo_experiments
-0.004152456808217676,1
-0.0038636600887379333,0
-0.00357486336925819,0
-0.003286066649778448,1
-0.0029972699302987056,2
-0.0027084732108189633,4
-0.00241967649133922,1
-0.002130879771859478,5
-0.0018420830523797355,7
-0.001553286332899993,3
-0.0012644896134202503,14
-0.0009756928939405078,18
-0.0006868961744607655,25
-0.00039809945498102276,36
-0.00010930273550128003,36
0.00017949398397846227,60
0.00046829070345820456,68
0.0007570874229379469,123
0.0010458841424176896,138
0.0013346808618974323,209
0.0016234775813771746,233
0.0019122743008569173,302
0.00220107102033666,393
0.0024898677398164024,514
0.0027786644592961447,665
0.003067461178775887,831
0.0033562578982556297,954
0.003645054617735373,1187
0.003933851337215116,1519
0.004222648056694858,1827
0.0045114447761746,2147
0.0048002414956543425,2497
0.005089038215134085,3010
0.005377834934613827,3503
0.005666631654093569,4078
0.005955428373573312,4576
0.006244225093053055,5109
0.006533021812532798,5894
0.00682181853201254,6351
0.0071106152514922825,7129
0.007399411970972025,7765
0.007688208690451767,8628
0.00797700540993151,8978
0.008265802129411253,9540
0.008554598848890996,10020
0.008843395568370738,10659
0.00913219228785048,10971
0.009420989007330223,11135
0.009709785726809965,11344
0.009998582446289707,11343
0.01028737916576945,11405
0.010576175885249192,11260
0.010864972604728936,10981
0.011153769324208678,10504
0.01144256604368842,10061
0.011731362763168164,9751
0.012020159482647907,9174
0.012308956202127649,8601
0.012597752921607391,8001
0.012886549641087134,7479
0.013175346360566876,6771
0.013464143080046618,5966
0.01375293979952636,5459
0.014041736519006103,4737
0.014330533238485847,4272
0.01461932995796559,3602
0.014908126677445331,3134
0.015196923396925074,2721
0.015485720116404816,2323
0.01577451683588456,1953
0.0160633135553643,1618
0.016352110274844043,1278
0.016640906994323787,1120
0.016929703713803528,901
0.01721850043328327,682
0.017507297152763016,564
0.017796093872242756,429
0.018084890591722497,351
0.01837368731120224,264
0.018662484030681985,170
0.018951280750161725,155
0.01924007746964147,131
0.019528874189121213,86
0.019817670908600954,62
0.020106467628080694,49
0.02039526434756044,44
0.020684061067040183,23
0.020972857786519923,19
0.021261654505999667,11
0.02155045122547941,8
0.02183924794495915,11
0.022128044664438892,5
0.022416841383918636,2
0.02270563810339838,3
0.02299443482287812,1
0.02328323154235786,1
0.02357202826183761,2
0.02386082498131735,0
0.02414962170079709,1
0.024438418420276838,1
