day_centers,background_crystal2,background_crystal3,background_crystal4,background_crystal6,background_crystal7
285.5,2.1392282781909455,2.3111215036050274,2.1649747403842574,1.8697937172830763,1.9517379227956468
286.5,2.1389702670014756,2.3106914442148017,2.1642289701175668,1.8694400682171908,1.9513630235226287
287.5,2.1387127299641713,2.31026226021289,2.1634854583665604,1.8690875945473886,1.9509892866002327
288.5,2.1384556642686428,2.309833946711236,2.1627441926661772,1.8687362892440034,1.9506167053646903
289.5,2.1381990671221685,2.3094064988520993,2.1620051606263075,1.8683861453205217,1.9502452731924909
290.5,2.137942935749584,2.308979911807876,2.161268349931328,1.868037155833315,1.94987498350013
291.5,2.1376872673931704,2.3085541807809014,2.160533748339644,1.867689313881379,1.9495058297438697
292.5,2.1374320593125486,2.3081293010032593,2.159801343683241,1.8673426126060628,1.9491378054194908
293.5,2.1371773087845614,2.3077052677366,2.1590711238672204,1.8669970451908158,1.9487709040620504
294.5,2.1369230131031713,2.3072820762719446,2.1583430768693646,1.866652604860921,1.9484051192456455
295.5,2.1366691695793483,2.306859721929507,2.157617190739677,1.8663092848832432,1.9480404445831674
296.5,2.1364157755409683,2.3064382000585057,2.156893453599949,1.8659670785659643,1.9476768737260668
297.5,2.1361628283326977,2.3060175060369805,2.1561718536433108,1.8656259792583343,1.947314400364118
298.5,2.135910325315893,2.3055976352716097,2.1554523791338,1.865285980350416,1.946953018225184
299.5,2.1356582638684953,2.3051785831975304,2.1547350184059217,1.8649470752728319,1.9465927210749803
300.5,2.1354066413849213,2.304760345278158,2.1540197598642137,1.8646092574965143,1.946233502716845
301.5,2.1351554552759624,2.304342917005007,2.1533065919828247,1.8642725205324575,1.9458753569915082
302.5,2.1349047029686847,2.303926293897513,2.152595503305077,1.8639368579314692,1.945518277776861
303.5,2.1346543819063144,2.3035104715028574,2.1518864824430484,1.8636022632839242,1.9451622589877293
304.5,2.1344044895481504,2.3030954453957904,2.151179518077147,1.8632687302195232,1.9448072945756476
305.5,2.1341550233694506,2.302681211178459,2.150474598955691,1.8629362524070443,1.9444533785286338
306.5,2.1339059808613383,2.30226776448023,2.149771713894495,1.8626048235541082,1.9441005048709614
307.5,2.1336573595306985,2.301855100957518,2.149070851776451,1.8622744374069342,1.9437486676629454
308.5,2.1334091569000804,2.3014432162936247,2.1483720015511203,1.8619450877501027,1.9433978610007143
309.5,2.133161370507594,2.301032106198551,2.147675152234324,1.8616167684063185,1.9430480790159947
310.5,2.1329139979068192,2.300621766408845,2.1469802929077324,1.8612894732361773,1.9426993158758898
311.5,2.1326670366667013,2.3002121926874213,2.1462874127184635,1.860963196137928,1.942351565782665
312.5,2.132420484371455,2.2998033808234046,2.145596500878683,1.860637931047245,1.9420048229735332
313.5,2.132174338620473,2.2993953266319562,2.144907546665203,1.8603136719369908,1.9416590817204376
314.5,2.1319285970282227,2.2989880259541158,2.1442205394190816,1.8599904128169946,1.9413143363298424
315.5,2.1316832572241555,2.298581474656633,2.1435354685452355,1.8596681477338168,1.940970581142517
316.5,2.131438316852611,2.2981756686318042,2.1428523235120456,1.859346870770526,1.9406278105333299
317.5,2.131193773572723,2.2977706037973187,2.1421710938509633,1.8590265760464726,1.9402860189110394
318.5,2.1309496250583253,2.2973662760960876,2.1414917691561293,1.8587072577170665,1.9399452007180809
319.5,2.130705868997861,2.2969626814960944,2.1408143390839847,1.8583889099735516,1.9396053504303687
320.5,2.130462503094285,2.2965598159902303,2.1401387933528917,1.8580715270427874,1.9392664625570843
321.5,2.1302195250649776,2.2961576755961346,2.1394651217427514,1.8577551031870267,1.938928531640476
322.5,2.1299769326416556,2.2957562563560487,2.1387933140946283,1.8574396327037,1.9385915522556543
323.5,2.1297347235702686,2.2953555543366506,2.138123360310373,1.8571251099251955,1.9382555190103936
324.5,2.1294928956109263,2.294955565628904,2.1374552503522497,1.8568115292186465,1.9379204265449275
325.5,2.129251446537796,2.294556286347906,2.1367889742425668,1.8564988849857134,1.9375862695317556
326.5,2.1290103741390194,2.294157712632731,2.136124522063309,1.8561871716623735,1.937253042675442
327.5,2.1287696762166255,2.2937598406462847,2.135461883955768,1.8558763837187082,1.9369207407124196
328.5,2.128529350586435,2.2933626665751508,2.1348010501201826,1.855566515658692,1.936589358410796
329.5,2.128289395077986,2.2929661866294366,2.134142010815373,1.8552575620199843,1.9362588905701597
330.5,2.1280498075344334,2.2925703970426348,2.1334847563583867,1.8549495173737223,1.9359293320213846
331.5,2.127810585812476,2.292175294071465,2.1328292771241375,1.8546423763243107,1.9356006776264434
332.5,2.1275717277822577,2.2917808739957355,2.1321755635450512,1.8543361335092223,1.9352729222782128
333.5,2.127333231327294,2.291387133118194,2.1315236061107137,1.854030783598788,1.9349460609002849
334.5,2.12709509434438,2.290994067764378,2.1308733953675225,1.8537263212959985,1.9346200884467823
335.5,2.126857314743513,2.2906016742824797,2.130224921918333,1.8534227413362998,1.934294999902168
336.5,2.1266198904477993,2.2902099490431995,2.1295781764221156,1.853120038487396,1.9339707902810603
337.5,2.126382819393383,2.2898188884395996,2.1289331495936166,1.852818207549047,1.9336474546280504
338.5,2.126146099529353,2.2894284888869683,2.1282898322030066,1.852517243352874,1.9333249880175167
339.5,2.1259097288176707,2.2890387468226776,2.1276482150755456,1.8522171407621595,1.9330033855534428
340.5,2.1256737052330807,2.2886496587060434,2.1270082890912483,1.8519178946716548,1.9326826423692367
341.5,2.1254380267630353,2.288261221018188,2.1263700451845433,1.8516195000073852,1.9323627536275507
342.5,2.125202691407611,2.2878734302619,2.1257334743439413,1.8513219517264565,1.9320437145201035
