day_centers,background_crystal2,background_crystal3,background_crystal4,background_crystal6,background_crystal7
285.5,3.7307998285161177,4.010935803917616,3.742304050963433,3.2033697645866654,3.3673897764405396
286.5,3.730229837439533,4.0102476374366045,3.7409716783608915,3.2028152411074386,3.3668130079394567
287.5,3.7296614879469816,4.009560622057492,3.7396438857753083,3.2022625623747825,3.366237958149926
288.5,3.7290947695961885,4.0088747518547185,3.7383206466403323,3.2017117171675307,3.365664616992575
289.5,3.728529672012767,4.008190020938737,3.7370019345527647,3.201162694334013,3.3650929744495426
290.5,3.7279661848897856,4.007506423455796,3.735687723271538,3.2006154827916213,3.3645230205641106
291.5,3.727404297987322,4.0068239535877055,3.734377986716709,3.2000700715263823,3.3639547454403256
292.5,3.7268440011320334,4.006142605551613,3.7330726989684573,3.1995264495925326,3.363388139242619
293.5,3.7262852842167176,4.005462373599788,3.7317718342660817,3.198984606112088,3.362823192195441
294.5,3.7257281371998863,4.004783252019397,3.7304753670070188,3.198444530274432,3.3622598945828925
295.5,3.725172550105337,4.004105235132276,3.7291832717458497,3.197906211335886,3.3616982367483557
296.5,3.7246185130217255,4.003428317294725,3.72789552319333,3.1973696386193042,3.3611382090941295
297.5,3.724066016102148,4.002752492897287,3.7266120962154115,3.196834801513652,3.360579802081068
298.5,3.7235150495637193,4.002077756364526,3.7253329658322762,3.196301689473602,3.3600230062282197
299.5,3.722965603687155,4.001404102154819,3.724058107217383,3.195770292019114,3.3594678121124697
300.5,3.7224176688163593,4.000731524760146,3.7227874956965032,3.195240598735046,3.358914210368186
301.5,3.7218712353580186,4.000060018705869,3.721521106746785,3.194712599270737,3.3583621916868625
302.5,3.7213262937811797,3.999389578550529,3.720258915995799,3.1941862833396115,3.3578117468167696
303.5,3.7207828346168577,3.9987201988856333,3.7190008992206116,3.193661640718782,3.357262866562607
304.5,3.72024084845763,3.9980518743354554,3.7177470323468462,3.1931386612486534,3.3567155417851526
305.5,3.719700325957227,3.997384599556819,3.716497291447769,3.192617334832526,3.356169763400922
306.5,3.719161257830145,3.9967183692388986,3.71525165274336,3.1920976514362094,3.35562552238182
307.5,3.7186236348512427,3.996053178103015,3.714010092599404,3.1915796010876303,3.355082809754806
308.5,3.7180874478553547,3.9953890209024325,3.71277258752659,3.1910631738764494,3.3545416166015554
309.5,3.717552687736898,3.994725892422162,3.711539114179596,3.1905483599536746,3.3540019340581155
310.5,3.7170193454494838,3.994063787478751,3.7103096493562067,3.1900351495312873,3.353463753314581
311.5,3.716487412005533,3.9934027009200985,3.7090841699964097,3.1895235328818488,3.352927065614755
312.5,3.7159568784758945,3.9927426276252467,3.7078626531815244,3.1890135003381417,3.352391862255822
313.5,3.715427735989466,3.9920835625041935,3.706645076133315,3.1885050422927828,3.351858134588022
314.5,3.7148999757328087,3.991425500497691,3.705431416213116,3.187998149197859,3.3513258740143135
315.5,3.714373588949786,3.9907684365770573,3.7042216509209673,3.187492811564548,3.3507950719900625
316.5,3.713848566941177,3.9901123657439803,3.7030157578947507,3.1869890199627653,3.3502657200227155
317.5,3.7133249010643135,3.9894572830303296,3.701813714909329,3.186486765020787,3.349737809671476
318.5,3.7128025827327087,3.9888031834979656,3.7006154998757004,3.185986037424894,3.349211332546991
319.5,3.712281603415695,3.9881500622385513,3.699421090840147,3.185486827919008,3.3486862803110298
320.5,3.7117619546380594,3.987497914373363,3.6982304659833924,3.1849891273043385,3.34816264467618
321.5,3.7112436279796794,3.986846735053108,3.6970436036197687,3.184492926439018,3.347640417405516
322.5,3.71072661507517,3.9861965194577405,3.6958604821963856,3.1839982162377565,3.347119590312314
323.5,3.710210907613525,3.985547262796264,3.6946810802923022,3.1835049876714896,3.34660015525972
324.5,3.70969649733776,3.984898960306572,3.6935053766177077,3.1830132317670237,3.346082104160459
325.5,3.709183376044565,3.9842516072552465,3.6923333500131066,3.1825229396066925,3.3455654289765238
326.5,3.708671535583959,3.983605198937388,3.6911649794485077,3.182034102328012,3.3450501217188675
327.5,3.7081609678589302,3.9829597306764315,3.690000244022617,3.18154671112334,3.344536174447118
328.5,3.7076516648251037,3.982315197823973,3.6888391229620416,3.1810607572395293,3.344023579269258
329.5,3.707143618490394,3.981671595759589,3.6876815956204907,3.1805762319775943,3.3435123283413484
330.5,3.706636820914665,3.98102891989066,3.6865276414779857,3.1800931266923746,3.34300241386722
331.5,3.706131264209391,3.980387165652201,3.6853772401400784,3.179611432792196,3.3424938280981786
332.5,3.7056269405373246,3.979746328506683,3.6842303713370668,3.1791311417385435,3.341986563332725
333.5,3.7051238421121573,3.9791064039438604,3.683087014923218,3.1786522450457304,3.3414806119162552
334.5,3.704621961198193,3.9784673874806056,3.681947150876007,3.178174734280566,3.3409759662407694
335.5,3.7041212901100176,3.9778292746607304,3.680810759295338,3.1776986010620343,3.340472618744603
336.5,3.7036218212121708,3.9771920610548253,3.67967782040279,3.1772238370609673,3.3399705619121174
337.5,3.7031235469188193,3.976555742260081,3.678548314540865,3.1767504339997243,3.3394697882734348
338.5,3.70262645969344,3.9759203139001333,3.6774222221722246,3.176278383651871,3.3389702904041596
339.5,3.7021305520484895,3.9752857716248884,3.676299523878955,3.175807677841861,3.338472060925078
340.5,3.701635816545096,3.974652111110364,3.6751802003618184,3.1753383084447258,3.3379750925019014
341.5,3.701142245792736,3.974019328058516,3.6740642324395147,3.1748702673857476,3.3374793778449834
342.5,3.7006498324489203,3.973387418197088,3.672951601047952,3.174403546640161,3.3369849097090425
343.5,3.700158569218885,3.9727563772794428,3.6718422872395196,3.1739381382328333,3.3364916808928915
